test_date,total
2020-03-09,3899
2020-03-10,4106
2020-03-11,3393
2020-03-12,3528
2020-03-13,4513
2020-03-14,2086
2020-03-15,1755
2020-03-16,7351
2020-03-17,6912
2020-03-18,6370
2020-03-19,5934
2020-03-20,5691
2020-03-21,2653
2020-03-22,2088
2020-03-23,6629
2020-03-24,6480
2020-03-25,6007
2020-03-26,6359
2020-03-27,5934
2020-03-28,2786
2020-03-29,1992
2020-03-30,5483
2020-03-31,4307
2020-04-01,4434
2020-04-02,4310
2020-04-03,3901
2020-04-04,2020
2020-04-05,1509
2020-04-06,4474
2020-04-07,4962
2020-04-08,4319
2020-04-09,3865
2020-04-10,1522
2020-04-11,1526
2020-04-12,1203
2020-04-13,1688
2020-04-14,5279
2020-04-15,5923
2020-04-16,7290
2020-04-17,7197
2020-04-18,3788
2020-04-19,2992
2020-04-20,6661
2020-04-21,5930
2020-04-22,5453
2020-04-23,5571
2020-04-24,6630
2020-04-25,4560
2020-04-26,3873
2020-04-27,8782
2020-04-28,9112
2020-04-29,9653
2020-04-30,8703
2020-05-01,8779
2020-05-02,6031
2020-05-03,4918
2020-05-04,12248
2020-05-05,12960
2020-05-06,12391
2020-05-07,11334
2020-05-08,10884
2020-05-09,6490
2020-05-10,4189
2020-05-11,11946
2020-05-12,11682
2020-05-13,11657
2020-05-14,11362
2020-05-15,10193
2020-05-16,5732
2020-05-17,4888
2020-05-18,11077
2020-05-19,10964
2020-05-20,9807
2020-05-21,9669
2020-05-22,7797
2020-05-23,4507
2020-05-24,3855
2020-05-25,10243
2020-05-26,10634
2020-05-27,10759
2020-05-28,11190
2020-05-29,9611
2020-05-30,5377
2020-05-31,4878
2020-06-01,12897
2020-06-02,12166
2020-06-03,11089
2020-06-04,11060
2020-06-05,10029
2020-06-06,5353
2020-06-07,4789
2020-06-08,5540
2020-06-09,17052
2020-06-10,14829
2020-06-11,13251
2020-06-12,12399
2020-06-13,6560
2020-06-14,6696
2020-06-15,18689
2020-06-16,18180
2020-06-17,15831
2020-06-18,14860
2020-06-19,12916
2020-06-20,6799
2020-06-21,7712
2020-06-22,20661
2020-06-23,18931
2020-06-24,18081
2020-06-25,18445
2020-06-26,16954
2020-06-27,9278
2020-06-28,8057
2020-06-29,20628
2020-06-30,19007
2020-07-01,16878
2020-07-02,16087
2020-07-03,14903
2020-07-04,8310
2020-07-05,7465
2020-07-06,18002
2020-07-07,16769
2020-07-08,16561
2020-07-09,15925
2020-07-10,14583
2020-07-11,10645
2020-07-12,10370
2020-07-13,25622
2020-07-14,27555
2020-07-15,27661
2020-07-16,26922
2020-07-17,24022
2020-07-18,15865
2020-07-19,14616
2020-07-20,31682
2020-07-21,30835
2020-07-22,29095
2020-07-23,26840
2020-07-24,23731
2020-07-25,15779
2020-07-26,10558
2020-07-27,26553
2020-07-28,26070
2020-07-29,24614
2020-07-30,24145
2020-07-31,24321
2020-08-01,13569
2020-08-02,11958
2020-08-03,32683
2020-08-04,29258
2020-08-05,27583
2020-08-06,28976
2020-08-07,26264
2020-08-08,13166
2020-08-09,11657
2020-08-10,29205
2020-08-11,26958
2020-08-12,28060
2020-08-13,23672
2020-08-14,22799
2020-08-15,11915
2020-08-16,9947
2020-08-17,30375
2020-08-18,33813
2020-08-19,33187
2020-08-20,29505
2020-08-21,25513
2020-08-22,12467
2020-08-23,11226
2020-08-24,36140
2020-08-25,31069
2020-08-26,24726
2020-08-27,25672
2020-08-28,23522
2020-08-29,12028
2020-08-30,10871
2020-08-31,33949
2020-09-01,26289
2020-09-02,23725
2020-09-03,20793
2020-09-04,18494
2020-09-05,9824
2020-09-06,8846
2020-09-07,27297
2020-09-08,22334
2020-09-09,21358
2020-09-10,17255
2020-09-11,14216
